name,company,year,Price,kms_driven,fuel_type
Santro Xing XO eRLX Euro III,Hyundai,2007.0,80000,45000.0,Petrol
Jeep CL550 MDI,Mahindra,2006.0,425000,40.0,Diesel
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000,28000.0,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000,36000.0,Diesel
Figo,Ford,2012.0,175000,41000.0,Diesel
Eon,Hyundai,2013.0,190000,25000.0,Petrol
EcoSport Ambiente 1.5L TDCi,Ford,2016.0,830000,24530.0,Diesel
Suzuki Alto K10 VXi AMT,Maruti,2015.0,250000,60000.0,Petrol
Fabia Classic 1.2 MPI,Skoda,2010.0,182000,60000.0,Petrol
Suzuki Stingray VXi,Maruti,2015.0,315000,30000.0,Petrol
Elite i20 Magna 1.2,Hyundai,2014.0,415000,32000.0,Petrol
Scorpio SLE BS IV,Mahindra,2015.0,320000,48660.0,Diesel
A8,Audi,2017.0,1000000,4000.0,Petrol
Q7,Audi,2014.0,500000,16934.0,Diesel
Scorpio S10,Mahindra,2016.0,350000,43000.0,Diesel
Suzuki Alto 800,Maruti,2014.0,160000,35550.0,Petrol
Scorpio S10,Mahindra,2016.0,310000,39522.0,Diesel
Suzuki Alto 800 Vxi,Maruti,2015.0,75000,39000.0,Petrol
i20 Sportz 1.2,Hyundai,2012.0,100000,55000.0,Petrol
Suzuki Alto 800 Lx,Maruti,2017.0,190000,72000.0,Petrol
Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000,15975.0,Diesel
Suzuki Alto LX,Maruti,2008.0,95000,70000.0,Petrol
Bolero DI,Mahindra,2017.0,180000,23452.0,Diesel
Suzuki Swift Dzire ZDi,Maruti,2014.0,385000,35522.0,Diesel
Scorpio S10 4WD,Mahindra,2015.0,250000,48508.0,Diesel
Suzuki Swift Vdi BSIII,Maruti,2017.0,180000,15487.0,Petrol
Suzuki Wagon R VXi BS III,Maruti,2013.0,105000,39000.0,Petrol
Suzuki Wagon R VXi Minor,Maruti,2013.0,105000,39000.0,Petrol
Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000,82000.0,Diesel
Lodgy 85 PS RXL,Renault,2018.0,689999,20000.0,Diesel
Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000,68000.0,Diesel
Suzuki Baleno Delta 1.2,Maruti,2017.0,549000,32000.0,Diesel
Duster 110 PS RxZ Diesel Plus,Renault,2012.0,501000,38000.0,Diesel
Duster 85 PS RxE Diesel,Renault,2013.0,489999,27000.0,Diesel
City 1.5 S MT,Honda,2011.0,280000,33000.0,Petrol
Suzuki Dzire,Maruti,2013.0,349999,46000.0,Diesel
Amaze,Honda,2013.0,284999,46000.0,Diesel
Amaze 1.5 SX i DTEC,Honda,2015.0,345000,36000.0,Diesel
City,Honda,2015.0,499999,55000.0,Petrol
Redi GO S,Datsun,2017.0,235000,16000.0,Petrol
Suzuki SX4 ZXI MT,Maruti,2010.0,249999,36000.0,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015.0,1475000,47000.0,Diesel
